"mz_10eV","10 ev","mz_25eV","25 ev","mz_40eV","40 ev"
"712.2163","3.800e1","424.0193","2.900e1","458.1049","2.100e1"
"712.2560","1.472e2","424.1165","2.200e1","458.2683","2.800e1"
"712.4415","2.100e1","424.1572","2.814e1","459.0630","2.700e1"
"712.5278","2.200e1","424.1773","3.582e1","460.1919","2.200e1"
"714.2221","2.200e1","424.2094","1.792e2","461.1713","2.100e1"
"715.7379","4.300e1","424.2478","1.172e2","462.0836","2.400e1"
"716.2798","2.100e1","424.3299","2.100e1","463.2595","2.100e1"
"716.3245","2.200e1","424.4559","3.100e1","464.0811","2.200e1"
"716.3557","4.800e1","425.1070","2.200e1","464.7213","2.000e1"
"717.3286","4.000e1","425.2396","5.410e2","466.2559","3.600e1"
"717.3666","3.300e1","426.0260","2.400e1","467.2131","3.200e1"
"717.9232","2.100e1","426.1049","2.700e1","468.2039","3.600e1"
"719.3845","2.400e1","426.1716","1.285e2","468.3058","2.000e1"
"720.0381","2.100e1","426.2108","2.454e2","469.0170","2.200e1"
"722.7826","7.600e1","426.2648","1.559e1","469.1419","2.700e1"
"723.2677","2.400e1","426.3039","2.400e1","471.1552","2.300e1"
"723.3590","2.000e2","427.1614","1.035e2","471.2362","2.400e1"
"723.4149","2.300e1","427.2145","2.363e2","472.1792","2.800e1"
"723.8941","1.810e2","427.2582","6.647e1","472.2039","2.400e1"
"725.3631","4.500e1","427.5598","2.300e1","473.1404","2.300e1"
"726.3989","2.400e1","427.7202","8.800e1","474.0835","1.320e2"
"726.8863","4.700e1","427.8189","3.800e1","474.8887","2.500e1"
"727.1121","4.600e1","428.1157","2.300e1","476.1302","2.300e1"
"727.2944","2.400e1","428.1750","4.447e1","476.9921","2.700e1"
"731.2795","2.300e1","428.2484","1.625e2","480.2968","2.100e1"
"732.1755","2.300e1","428.7868","2.300e1","481.1097","3.500e1"
"732.3644","4.800e1","428.9970","4.800e1","481.2189","5.300e1"
"732.8766","2.100e1","429.1124","4.300e1","482.2932","4.300e1"
"734.1784","2.400e1","429.1638","4.965e1","482.9576","2.700e1"
"735.1475","5.400e1","429.2302","2.588e2","483.1306","2.000e1"
"735.3012","2.000e1","429.2597","5.177e2","483.1620","2.000e1"
"735.5990","2.200e1","429.5009","2.400e1","483.1978","2.200e1"
"737.1531","2.600e1","429.6654","4.200e1","483.8763","2.300e1"
"737.6964","5.100e1","429.7336","2.600e1","483.9257","4.100e1"
"738.3488","2.300e1","429.7668","2.400e1","485.9916","2.100e1"
"739.5807","2.500e1","430.1015","2.800e1","486.1820","5.200e1"
"741.2510","2.200e1","430.1930","1.662e3","486.3495","2.400e1"
"741.4374","2.200e1","430.2323","2.564e2","490.2137","2.900e1"
"742.8741","2.400e1","430.2650","1.571e2","491.2680","5.300e1"
"743.4386","2.200e1","430.5146","9.500e1","493.2104","3.400e1"
"745.4869","2.100e1","430.7090","2.300e1","493.8009","6.000e1"
"746.3406","3.300e1","431.2009","7.345e2","494.2256","2.200e1"
"747.4348","3.100e1","431.2460","1.143e2","495.0879","4.300e1"
"747.5470","2.700e1","431.5144","2.200e1","496.1471","2.200e1"
"747.8079","3.200e1","431.7557","4.200e1","497.1960","5.900e1"
"748.0256","6.400e1","432.1915","8.897e1","497.2894","7.679e1"
"748.4563","2.500e1","432.2174","9.325e1","497.3133","1.966e1"
"752.0907","2.300e1","432.2883","3.000e1","498.8767","4.100e1"
"754.2381","2.300e1","432.3710","2.100e1","499.3660","2.500e1"
"760.1741","2.100e1","432.5014","2.100e1","500.9364","2.600e1"
